StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,Unnamed: 12
9369.0,missing,1.0,2.0,1.0,,3.9,No,Yes,55.0,71.0, NotPlaced ,
2244.0,,1.0,2.0,0.0,79.0,3.8,No,,64.0,70.0, NotPlaced ,
2102.0,8.4,1.0,2.0,,Score: 77.0,,False,No,65.0,72.0, Employed ,
5227.0,,1.0,1.0,0.0,71.0%,4.3,No,No,,72.0, PLACED ,
2297.0,7.6,1.0,2.0,0.0,71.0,4.1,yes,No,56.0,63.0,,
3132.0,approx 7.7,,2.0,0.0,77.0,4.6,F,Yes,71.0,, NotPlaced ,
9311.0,8.3,2.0,,0.0,72.0,3.6,No,Yes,72.0,85.0,,
9792.0,8.5,One,3.0,,,3.7,Yes,Yes,71.0,82.0, Unplaced ,
6246.0,,2.0,3.0,0.0,90.0,,Yes,Yes,82.0,85.0, Placed ,
,,One,,,-1,3.8,T,Yes,77.0,80.0, Job ,
9722.0,7.0,2.0,3.0,2.0,90.0,,,,85.0,, NotPlaced ,
5100.0,8.4,1.0,3.0,,Score: 90.0,4.7,N,Yes,74.0,, Idle ,
425.0,7.9,0.0,,0.0,85.0,,Yes,,76.0,81.0, NotPlaced ,
,8.4,1.0,3.0,,-1,4.8,,Yes,,85.0, Placed ,
2643.0,8.5,0.0,2.0,1.0,89.0,4.8,Yes,Yes,56.0,72.0, NP ,
3260.0,6.5,1.0,1.0,,75.0,3.5,,No,55.0,, Employed ,
2642.0,8.1,One,2.0,,,,Yes,,77.0,83.0, No ,
8037.0,7.6,,2.0,1.0,68.0,4.1,No,,55.0,68.0, NotPlaced ,
,,,2.0,0.0,,4.7,False,Yes,78.0,86.0, Employed ,
,7.7,One,0.0,0.0,,3.9,T,No,55.0,71.0,,
4538.0,,One,1.0,0.0,,4.4,No,No,68.0,,,
7519.0,8.4,0.0,1.0,,,3.8,,No,64.0,68.0, NotPlaced ,
7026.0,6.8,One,1.0,0.0,,3.7,No,No,64.0,64.0, Yes ,
,6.5,One,2.0,1.0,88.0,,False,Yes,,87.0, Placed ,
,8.6,0.0,3.0,2.0,Score: 83.0,4.8,0,Yes,73.0,87.0, Placed ,
1266.0,8.6,1.0,3.0,1.0,,4.8,yes,,DATA_SHIFT_ERROR,72.0, No ,
6189.0,7.6,1.0,1.0,1.0,76.0,,No,Yes,83.0,68.0,,
8840.0,,One,3.0,,90.0,,,No,DATA_SHIFT_ERROR,,,
2500.0,8.5/10,0.0,1.0,0.0,,4.2,F,,74.0,, NP ,
503.0,,,1.0,0.0,80.0,3.5,,Yes,55.0,61.0, P ,
698.0,,One,2.0,1.0,,4.1,F,,,64.0, P ,
7194.0,7.6,,2.0,0.0,Score: 73.0,3.7,No,Yes,67.0,, Employed ,
9303.0,8.2,,3.0,2.0,90.0,4.8,,,81.0,83.0, Idle ,
,7.6,One,1.0,0.0,73.0,4.3,Y,Yes,55.0,76.0, Unemployed ,
3365.0,6.6,1.0,3.0,2.0,90.0,4.3,Yes,Yes,82.0,80.0, Unemployed ,
7377.0,6.6,1.0,1.0,0.0,78.0,,Yes,Yes,,67.0, Idle ,
4598.0,7.6,Zero,1.0,0.0,86.0,4.2,no,Yes,,70.0,,
,72.0,,1.0,0.0,-1,4.0,,Yes,,68.0, Employed ,
6610.0,7.0,,1.0,,69.0,,,No,,57.0,,
7677.0,7.6,,1.0,2.0,72.0,3.7,,No,55.0,61.0, Employed ,
6974.0,,0.0,,0.0,82.0%,,,Yes,65.0,63.0, Placed ,
4230.0,7.0,1.0,1.0,0.0,71.0,4.4,No,No,63.0,74.0, Unemployed ,
1686.0,,1.0,,1.0,,4.4,yes,Yes,62.0,82.0, NotPlaced ,
1586.0,8.2,1.0,,0.0,81.0,4.0,Yes,,,68.0, No ,
,missing,0.0,1.0,0.0,73.0,4.3,Yes,Yes,58.0,68.0, NotPlaced ,
8864.0,7.4,One,1.0,0.0,79.0,,Y,Yes,57.0,71.0, NotPlaced ,
,,,3.0,,Score: 79.0,,True,Yes,76.0,83.0, Placed ,
3242.0,,1.0,3.0,,,3.8,T,Yes,,66.0, P ,
6851.0,,2.0,3.0,2.0,,4.8,False,Yes,81.0,87.0,,
1267.0,,0.0,2.0,2.0,85.0,4.0,0,,,88.0, No ,
5349.0,8.5,,3.0,1.0,84.0,4.3,Yes,,55.0,66.0, NotPlaced ,
9921.0,,1.0,3.0,,,4.2,Yes,Yes,,84.0, NotPlaced ,
925.0,7.5,Zero,,2.0,-1,4.0,No,Yes,66.0,63.0, NotPlaced ,
9581.0,8.0,Two,3.0,2.0,Score: 86.0,4.8,,No,,68.0, Yes ,
7504.0,8.0,2.0,3.0,,87.0,3.7,,Yes,72.0,, PLACED ,
5764.0,,2.0,,2.0,,,no,Yes,87.0,76.0, Employed ,
9070.0,6.5,,2.0,0.0,,,Y,No,56.0,67.0, NotPlaced ,
8139.0,7.9/10,Zero,,1.0,61.0,4.4,No,No,55.0,, Idle ,
4657.0,-7.6,1.0,1.0,0.0,,4.0,,No,55.0,70.0, No ,
6986.0,7.0,,1.0,0.0,Score: 72.0,4.4,no,Yes,74.0,, Unplaced ,
,,1.0,,0.0,85.0,4.6,Yes,,73.0,77.0,,
6703.0,7.8,,3.0,2.0,90.0,,,Yes,76.0,88.0, Employed ,
2685.0,missing,One,2.0,0.0,72.0,4.1,No,Yes,,73.0, NotPlaced ,
,7.9,One,1.0,,,4.5,Y,Yes,80.0,81.0, Placed ,
3298.0,6.5,0.0,2.0,0.0,69.0%,3.6,No,Yes,55.0,, NP ,
537.0,8.1,,3.0,2.0,84.0,4.6,Y,,78.0,84.0, No ,
8971.0,8.4/10,2.0,3.0,,,4.8,,Yes,82.0,79.0, NP ,
5418.0,7.6,1.0,1.0,0.0,79.0%,4.8,No,Yes,DATA_SHIFT_ERROR,69.0, Yes ,
,7.4,One,2.0,,70.0,4.4,T,Yes,58.0,63.0, NotPlaced ,
9106.0,8.0,Two,3.0,2.0,-1,,Yes,Yes,77.0,, P ,
8892.0,8.3,2.0,3.0,0.0,90.0,4.7,,Yes,73.0,77.0,,
1295.0,76.0,,1.0,1.0,Score: 66.0,4.5,No,Yes,55.0,68.0,,
5741.0,7.4,1.0,2.0,,68.0,3.6,No,No,55.0,, Unplaced ,
8707.0,6.7,0.0,1.0,0.0,-1,4.4,False,No,,66.0, NotPlaced ,
7049.0,,0.0,1.0,0.0,Score: 68.0,3.5,no,No,63.0,68.0, placed ,
5062.0,,1.0,,0.0,Score: 66.0,4.4,N,Yes,57.0,84.0, NotPlaced ,
643.0,6.6,,1.0,,72.0,3.4,No,No,83.0,65.0, NotPlaced ,
1171.0,6.5,0.0,1.0,0.0,73.0,,No,Yes,,67.0, Employed ,
9435.0,7.4,1.0,1.0,0.0,65.0,,No,,,,,
3669.0,8.2,Two,3.0,2.0,-1,4.8,No,No,82.0,78.0,,
7523.0,8.0,Two,3.0,0.0,90.0,4.5,Yes,Yes,85.0,79.0, Not Placed ,
8579.0,7.7,1.0,1.0,2.0,,3.9,Yes,No,72.0,65.0, Job ,
8192.0,6.5,One,,0.0,,4.5,N,Yes,61.0,70.0, No ,
4065.0,8.3,1.0,2.0,2.0,78.0,4.8,1,Yes,,82.0, NotPlaced ,
9066.0,7.5,,,0.0,63.0,4.3,Y,Yes,55.0,, NotPlaced ,
,,,3.0,0.0,-1,,F,Yes,68.0,88.0, NotPlaced ,
7464.0,missing,1.0,3.0,2.0,,4.6,No,,81.0,, NotPlaced ,
,8.5,One,1.0,2.0,-1,4.5,0,Yes,,73.0, Unplaced ,
8209.0,,,2.0,,80.0,3.4,Y,No,55.0,71.0, PLACED ,
6014.0,,1.0,1.0,0.0,-1,4.0,T,No,,62.0, Unemployed ,
,approx 8.5,1.0,3.0,3.0,,4.8,Yes,,78.0,73.0, placed ,
905.0,8.2,,3.0,0.0,71.0%,4.7,,Yes,76.0,88.0, Placed ,
255.0,6.5,One,1.0,,,4.2,False,No,59.0,65.0, Job ,
5183.0,8.4,2.0,,2.0,90.0,4.8,0,Yes,86.0,84.0, NP ,
6409.0,,1.0,,2.0,80.0,4.1,F,Yes,76.0,83.0, Yes ,
276.0,6.5,,2.0,2.0,79.0%,4.5,,Yes,83.0,87.0, Placed ,
8159.0,7.0,1.0,1.0,,-1,4.3,Y,,55.0,70.0, NotPlaced ,
8306.0,,1.0,3.0,,,4.6,No,,70.0,82.0, Unplaced ,
5315.0,,1.0,,2.0,84.0,,1,Yes,,79.0, Yes ,
,7.6,,3.0,,86.0,,True,Yes,67.0,, NotPlaced ,
2554.0,8.0,1.0,3.0,2.0,90.0,4.8,No,Yes,,88.0, Not Placed ,
7209.0,8.3,2.0,,2.0,-1,4.6,True,Yes,78.0,79.0,,
5177.0,7.4,One,1.0,0.0,,4.0,False,Yes,67.0,79.0,,
976.0,8.0,2.0,2.0,2.0,83.0%,4.5,yes,Yes,72.0,88.0, NotPlaced ,
257.0,8.7,2.0,3.0,2.0,90.0,,No,Yes,83.0,81.0,,
7666.0,7.9,2.0,3.0,2.0,Score: 83.0,4.5,1,,72.0,84.0, Yes ,
7764.0,,0.0,,2.0,,4.0,Yes,Yes,62.0,85.0, Placed ,
9907.0,8.1,Two,3.0,2.0,90.0,4.7,F,Yes,74.0,, Unplaced ,
,-7.3,1.0,1.0,1.0,70.0,4.5,1,Yes,68.0,73.0, Employed ,
8141.0,8.3,,3.0,2.0,90.0,4.4,,Yes,,87.0, Placed ,
,,2.0,3.0,2.0,,,1,No,85.0,83.0,,
5077.0,75.0,0.0,2.0,1.0,72.0%,4.5,No,No,67.0,64.0,,
7763.0,approx 6.5,One,2.0,1.0,,4.3,F,No,,61.0,,
1878.0,7.4,0.0,1.0,1.0,,3.5,True,Yes,71.0,65.0,,
502.0,6.8,1.0,1.0,2.0,-1,,False,No,77.0,84.0, NP ,
9058.0,7.5,One,2.0,,71.0,,yes,Yes,58.0,65.0, No ,
408.0,missing,2.0,1.0,0.0,81.0,4.1,True,Yes,76.0,83.0, Unemployed ,
3399.0,7.9,Zero,1.0,0.0,80.0,4.5,no,Yes,58.0,81.0, Placed ,
1939.0,7.6/10,0.0,,0.0,67.0,4.3,,Yes,,69.0, Idle ,
5764.0,,2.0,,2.0,,,no,Yes,87.0,76.0, Employed ,
,,1.0,3.0,2.0,88.0,4.5,no,Yes,73.0,, NP ,
,6.5,,3.0,,83.0,,N,No,,81.0, No ,
9344.0,6.8,1.0,,,67.0,4.4,No,No,68.0,65.0, Yes ,
5651.0,7.6,One,1.0,1.0,71.0%,4.2,Yes,Yes,63.0,63.0, Not Placed ,
4176.0,missing,1.0,2.0,,74.0,3.7,,Yes,79.0,86.0, Placed ,
1931.0,8.4,2.0,3.0,,90.0,4.8,,Yes,72.0,, Placed ,
,8.3,2.0,3.0,2.0,90.0,4.7,Yes,Yes,85.0,82.0, P ,
5524.0,,2.0,1.0,0.0,81.0,3.7,False,Yes,,66.0, Employed ,
2624.0,7.8,1.0,3.0,,90.0,4.1,No,,,86.0,,
6838.0,8.4,Two,,2.0,Score: 90.0,4.8,True,,82.0,84.0, NP ,
,6.9,1.0,1.0,1.0,-1,4.4,No,No,55.0,65.0,,
8243.0,missing,,3.0,2.0,72.0,4.5,False,Yes,65.0,86.0, NotPlaced ,
1975.0,6.5,1.0,1.0,1.0,64.0,4.0,yes,No,,71.0, placed ,
,6.7,,2.0,,-1,,yes,,55.0,, NP ,
2370.0,-9.0,,3.0,2.0,Score: 88.0,4.8,,Yes,72.0,,,
2506.0,,,3.0,2.0,90.0,4.8,F,Yes,85.0,86.0, No ,
568.0,8.1,Two,,2.0,90.0,4.4,Yes,Yes,70.0,88.0, P ,
6364.0,8.4,Zero,,,90.0,4.3,No,No,59.0,66.0, No ,
2399.0,missing,1.0,1.0,1.0,69.0%,4.0,0,No,,67.0, Employed ,
,6.7,Two,1.0,1.0,,,F,Yes,64.0,62.0, Unemployed ,
,6.5,One,1.0,1.0,68.0,4.1,F,No,55.0,, NotPlaced ,
7260.0,8.5,,3.0,2.0,90.0,4.8,Yes,Yes,79.0,88.0, PLACED ,
4710.0,8.4,Two,3.0,3.0,90.0,4.6,,Yes,,78.0, NotPlaced ,
,,,1.0,1.0,69.0,,1,Yes,55.0,67.0, NotPlaced ,
,,,2.0,0.0,70.0,3.4,False,Yes,55.0,, placed ,
46.0,6.7/10,1.0,1.0,2.0,73.0,4.5,yes,No,55.0,66.0,,
,approx 7.4,1.0,1.0,0.0,77.0,,Yes,Yes,DATA_SHIFT_ERROR,56.0, NotPlaced ,
6829.0,missing,0.0,1.0,1.0,67.0,4.2,Yes,Yes,74.0,66.0, Job ,
3373.0,7.4/10,1.0,1.0,,85.0,4.4,False,,75.0,, NotPlaced ,
6944.0,8.2,2.0,3.0,2.0,Score: 86.0,4.5,Y,No,77.0,, NotPlaced ,
7185.0,7.6,,1.0,1.0,77.0%,4.6,,Yes,55.0,68.0, NP ,
2654.0,7.3,,1.0,1.0,67.0,3.4,N,,,68.0,,
4404.0,approx 8.2,Zero,3.0,,75.0%,4.6,Yes,,,, Placed ,
9661.0,approx 8.3,0.0,1.0,0.0,,4.1,Yes,Yes,55.0,73.0, NP ,
,8.6,1.0,3.0,2.0,90.0,4.8,,Yes,78.0,83.0, P ,
5548.0,7.7,2.0,2.0,2.0,,4.3,Yes,,,84.0, Employed ,
6425.0,-8.2,Two,3.0,2.0,-1,4.8,,Yes,77.0,86.0, P ,
8338.0,7.5,1.0,,1.0,68.0,4.4,Yes,No,,69.0, NP ,
,8.3,One,1.0,0.0,Score: 88.0,4.1,No,No,64.0,, PLACED ,
7953.0,8.5,2.0,,,-1,,Yes,Yes,81.0,80.0, Unplaced ,
2488.0,6.5,,,1.0,Score: 82.0,4.0,No,Yes,55.0,62.0, NotPlaced ,
4748.0,8.1,1.0,1.0,,76.0,,0,Yes,,83.0,,
4207.0,approx 8.4,2.0,,2.0,87.0,4.8,False,Yes,79.0,86.0,,
4766.0,,,1.0,0.0,82.0,3.7,,,55.0,58.0, Placed ,
3088.0,,Zero,,,Score: 77.0,4.2,No,Yes,,,,
9542.0,8.0,2.0,,2.0,-1,4.8,Yes,Yes,84.0,, Employed ,
,6.7,,3.0,0.0,87.0,4.4,N,Yes,69.0,67.0, NotPlaced ,
6968.0,8.4,,,2.0,82.0,4.7,N,Yes,86.0,82.0, No ,
4698.0,,1.0,,0.0,87.0,4.2,,Yes,81.0,, Job ,
1289.0,7.8,2.0,3.0,,Score: 83.0,4.6,Yes,,79.0,,,
,8.3,1.0,3.0,1.0,83.0,4.1,No,Yes,66.0,, NotPlaced ,
6260.0,7.4,,2.0,2.0,69.0,3.8,T,,57.0,67.0, Not Placed ,
,7.3,1.0,1.0,0.0,77.0%,4.0,,No,63.0,, NotPlaced ,
8124.0,7.6,One,,0.0,77.0,4.3,,Yes,,83.0, Unplaced ,
194.0,8.9,,1.0,2.0,,4.8,F,Yes,75.0,82.0, NP ,
66.0,approx 8.0,Zero,3.0,0.0,68.0,,True,No,64.0,83.0, Not Placed ,
8121.0,approx 8.0,,3.0,1.0,89.0,4.8,Yes,No,72.0,81.0, P ,
5849.0,7.4,One,3.0,,78.0,4.2,,Yes,71.0,67.0, Placed ,
9624.0,7.6,1.0,2.0,0.0,66.0,3.5,True,Yes,57.0,62.0, NotPlaced ,
605.0,,0.0,1.0,0.0,73.0,,no,Yes,55.0,66.0, NP ,
,approx 7.4,0.0,1.0,0.0,,,False,,,70.0, NotPlaced ,
1966.0,6.8,0.0,,0.0,Score: 70.0,3.3,yes,No,,70.0, P ,
1505.0,-7.9,One,3.0,2.0,85.0%,4.6,Yes,Yes,71.0,88.0, PLACED ,
2563.0,,1.0,2.0,,,,N,Yes,55.0,59.0, NotPlaced ,
8099.0,7.6,1.0,,0.0,71.0,3.3,No,Yes,64.0,72.0, No ,
364.0,,2.0,3.0,1.0,,4.8,No,,77.0,, NotPlaced ,
487.0,8.3,1.0,3.0,1.0,,4.8,Yes,Yes,80.0,67.0, NotPlaced ,
3443.0,7.8,1.0,3.0,,Score: 90.0,,True,Yes,86.0,,,
,8.6,1.0,3.0,2.0,90.0,4.7,F,Yes,68.0,, Unplaced ,
1707.0,8.1,One,,,90.0,4.8,False,,,88.0,,
3706.0,7.6,Zero,3.0,,71.0,,,,DATA_SHIFT_ERROR,57.0, NotPlaced ,
,6.6,One,,0.0,,4.4,Y,No,62.0,82.0, Job ,
2911.0,8.4,,3.0,0.0,82.0,4.1,No,Yes,74.0,86.0, PLACED ,
,8.0,0.0,,0.0,75.0,3.8,Yes,No,57.0,64.0,,
,7.8,1.0,1.0,,77.0,3.8,True,No,55.0,57.0, NotPlaced ,
8148.0,7.5,,2.0,1.0,,4.0,,,58.0,76.0, Yes ,
8005.0,74.0,1.0,,,-1,4.2,F,,62.0,79.0, NotPlaced ,
7667.0,6.7,Zero,1.0,1.0,,4.2,no,No,55.0,69.0, NP ,
2572.0,8.4/10,0.0,,0.0,81.0,3.8,No,,65.0,65.0, Placed ,
,7.5,,2.0,0.0,74.0,4.0,Yes,Yes,68.0,65.0, Placed ,
8836.0,8.0,2.0,3.0,2.0,90.0,4.8,1,Yes,75.0,83.0, P ,
3332.0,8.1,One,1.0,,Score: 77.0,4.8,Y,No,57.0,63.0, Idle ,
,-8.1,Two,3.0,2.0,90.0,4.8,,Yes,74.0,, Job ,
8857.0,7.9,,3.0,,90.0,4.7,Y,Yes,80.0,88.0,,
9949.0,7.8,One,,1.0,,,Y,,60.0,67.0,,
9928.0,6.5,1.0,1.0,0.0,,,1,Yes,64.0,65.0, Unplaced ,
4525.0,approx 8.4,,,2.0,80.0%,4.1,Yes,Yes,75.0,, Placed ,
2072.0,7.6,0.0,,1.0,69.0,4.8,Y,No,,71.0,,
988.0,8.2,2.0,1.0,1.0,69.0,4.5,yes,No,83.0,79.0,,
3626.0,6.5,2.0,,2.0,68.0,4.2,Y,No,74.0,63.0,,
3891.0,approx 7.7,1.0,1.0,1.0,80.0,3.9,1,No,,67.0, Employed ,
4781.0,8.2,Two,3.0,2.0,78.0,4.8,Yes,Yes,83.0,83.0, Placed ,
2049.0,,2.0,3.0,1.0,90.0,4.8,N,Yes,,88.0, No ,
6914.0,7.6,,2.0,0.0,63.0,4.7,No,No,55.0,, NotPlaced ,
8930.0,,0.0,3.0,,,4.2,False,No,62.0,74.0, Placed ,
2558.0,8.2,1.0,3.0,2.0,90.0%,4.8,Yes,Yes,75.0,81.0, Employed ,
759.0,approx 7.6,0.0,1.0,0.0,66.0,3.5,1,No,55.0,67.0,,
1476.0,-7.6,1.0,3.0,,82.0,4.3,Y,Yes,73.0,87.0, Unplaced ,
385.0,8.5,2.0,,3.0,82.0%,3.6,0,Yes,67.0,81.0, Employed ,
4992.0,6.9,,1.0,0.0,61.0,3.5,Y,No,66.0,,,
,7.4,1.0,2.0,1.0,76.0,4.3,Y,,77.0,71.0, NP ,
1811.0,8.4,,3.0,2.0,,4.8,Yes,Yes,75.0,88.0, Unplaced ,
9117.0,7.5,1.0,1.0,1.0,77.0,,No,No,56.0,67.0, Placed ,
2644.0,8.9,2.0,1.0,2.0,Score: 90.0,4.7,Yes,Yes,75.0,84.0,,
8323.0,,1.0,2.0,1.0,65.0,4.6,1,,62.0,87.0, Employed ,
7269.0,7.6,0.0,,,72.0,3.6,True,No,55.0,61.0, Not Placed ,
4117.0,6.7,One,1.0,0.0,Score: 76.0,4.2,,No,61.0,63.0,,
8316.0,7.6,1.0,,1.0,,4.7,N,,77.0,, Yes ,
9795.0,,0.0,,0.0,,4.3,,Yes,74.0,, NP ,
,6.6,2.0,3.0,0.0,75.0,3.9,Yes,Yes,,, No ,
1912.0,7.1,,,0.0,-1,4.2,,Yes,,88.0,,
9245.0,7.4,0.0,,2.0,,4.5,,Yes,76.0,68.0, Yes ,
4811.0,7.9,One,1.0,0.0,74.0%,4.5,F,Yes,56.0,70.0,,
9755.0,7.6,0.0,1.0,0.0,Score: 70.0,,1,Yes,,, Placed ,
9730.0,6.6,,2.0,0.0,,4.0,F,,58.0,70.0, NotPlaced ,
7694.0,,2.0,1.0,2.0,90.0%,4.5,Yes,No,66.0,83.0, NotPlaced ,
468.0,,0.0,1.0,1.0,,4.8,Yes,,,88.0, Yes ,
7429.0,,One,,0.0,,4.6,,No,63.0,68.0, PLACED ,
8279.0,7.8,1.0,,2.0,,4.8,Yes,Yes,,67.0, Idle ,
,,1.0,1.0,1.0,74.0,4.5,Y,,55.0,62.0, Placed ,
2239.0,approx 7.5,One,2.0,0.0,82.0,4.4,1,Yes,57.0,, NotPlaced ,
6778.0,7.6,Zero,1.0,0.0,Score: 79.0,4.0,Y,No,55.0,, Placed ,
,,,3.0,1.0,76.0,4.0,No,No,65.0,61.0, Employed ,
3833.0,8.2,0.0,3.0,0.0,79.0,4.7,,Yes,,87.0, NP ,
3310.0,7.6,One,1.0,1.0,,4.2,T,Yes,68.0,86.0, NP ,
,6.9,2.0,2.0,2.0,72.0,,Yes,Yes,58.0,71.0, Not Placed ,
819.0,-6.8,Zero,3.0,2.0,,3.9,No,Yes,85.0,, NotPlaced ,
7911.0,7.6,One,2.0,0.0,79.0,4.1,no,Yes,69.0,65.0, Placed ,
,7.0,1.0,1.0,1.0,65.0,3.0,,No,55.0,,,
3703.0,8.2,,1.0,1.0,,4.8,,Yes,,67.0,,
,7.7,1.0,,2.0,,4.7,F,Yes,58.0,85.0,,
6356.0,,One,3.0,2.0,90.0,4.4,No,Yes,82.0,85.0, Unemployed ,
7201.0,approx 7.4,One,0.0,2.0,73.0,4.2,N,Yes,90.0,72.0, Not Placed ,
,7.6,One,2.0,1.0,78.0,,No,Yes,60.0,, NotPlaced ,
750.0,,One,1.0,0.0,72.0,4.1,Y,Yes,55.0,63.0, NotPlaced ,
1658.0,8.1/10,2.0,3.0,1.0,,4.8,,Yes,59.0,72.0, placed ,
,7.6,1.0,,1.0,72.0%,4.0,True,Yes,,78.0,,
5405.0,,One,1.0,1.0,79.0,4.3,,No,55.0,75.0,,
8721.0,8.6,2.0,,2.0,76.0,4.7,False,No,67.0,84.0,,
3362.0,-7.4,1.0,1.0,0.0,85.0,,yes,No,57.0,,,
,6.6,1.0,2.0,0.0,,,No,No,58.0,62.0,,
9045.0,7.9,,,2.0,79.0,4.3,no,No,,, Unplaced ,
8937.0,-7.7,,,0.0,,,,Yes,55.0,64.0, Employed ,
,6.5,One,3.0,2.0,Score: 90.0,4.0,False,No,85.0,65.0, Placed ,
,7.5,1.0,1.0,0.0,68.0,4.1,no,Yes,55.0,67.0, Placed ,
8327.0,76.0,1.0,,,76.0%,,,Yes,,63.0, Not Placed ,
4866.0,,1.0,,,63.0,3.5,,No,,64.0, Job ,
427.0,7.1,2.0,2.0,,76.0,4.0,Yes,Yes,55.0,69.0,,
,6.7,1.0,1.0,0.0,80.0,3.8,no,Yes,62.0,64.0, NotPlaced ,
4239.0,8.5,Zero,3.0,2.0,83.0,4.5,No,No,,69.0,,
8172.0,8.6,Zero,,,90.0,4.8,False,Yes,70.0,84.0, P ,
2950.0,7.3,Zero,1.0,1.0,80.0,,True,Yes,55.0,69.0, Idle ,
109.0,8.1,One,3.0,2.0,90.0,4.8,,,79.0,84.0,,
,,2.0,,2.0,Score: 90.0,4.8,Yes,Yes,78.0,87.0, Idle ,
6612.0,,One,3.0,,,4.8,Yes,Yes,88.0,81.0, Placed ,
3075.0,8.7/10,2.0,3.0,2.0,,4.8,yes,Yes,,84.0, NP ,
4526.0,,,2.0,2.0,89.0,4.3,Yes,No,79.0,80.0, No ,
,7.7,,1.0,1.0,70.0,4.6,No,Yes,55.0,66.0, PLACED ,
4972.0,80.0,2.0,,0.0,,,Yes,Yes,,80.0, Placed ,
9977.0,8.0,,3.0,2.0,Score: 88.0,4.8,1,Yes,71.0,83.0, NotPlaced ,
4225.0,6.5,1.0,3.0,2.0,90.0%,4.8,,Yes,76.0,82.0, Yes ,
9125.0,8.7,,2.0,2.0,77.0,4.5,Y,Yes,75.0,68.0, NotPlaced ,
,8.0/10,2.0,3.0,0.0,,4.6,Yes,Yes,76.0,, Placed ,
8362.0,8.3,2.0,2.0,,,4.6,Yes,Yes,80.0,83.0, No ,
8988.0,,,,,,3.9,False,Yes,70.0,, Job ,
3965.0,7.7,One,,1.0,-1,4.8,No,Yes,59.0,68.0, Job ,
5074.0,7.6,1.0,2.0,,Score: 84.0,4.7,No,No,69.0,72.0, Unemployed ,
349.0,6.5,2.0,3.0,0.0,79.0,3.7,No,Yes,68.0,, NotPlaced ,
1341.0,8.2,0.0,,0.0,90.0,,,Yes,,, Not Placed ,
691.0,8.5,2.0,,2.0,-1,4.5,,Yes,81.0,, NotPlaced ,
1852.0,7.4,,3.0,,70.0,,Yes,Yes,74.0,, PLACED ,
5118.0,,,1.0,,Score: 73.0,4.5,,No,59.0,60.0, placed ,
,-7.7,2.0,2.0,2.0,,4.7,0,Yes,83.0,82.0,,
8595.0,76.0,,1.0,,Score: 69.0,3.9,,Yes,63.0,69.0, Job ,
2953.0,,One,3.0,2.0,89.0,,Yes,Yes,,83.0, Job ,
6866.0,approx 8.8,2.0,3.0,2.0,90.0%,4.8,Yes,Yes,70.0,83.0,,
